Date,Open,High,Low,Close,Adj Close,Volume
2021-02-05,0.640000,0.670000,0.620000,0.650000,0.650000,23201500
2021-02-08,0.670000,0.780000,0.650000,0.760000,0.760000,63959500
2021-02-09,0.840000,0.860000,0.780000,0.820000,0.820000,59142200
2021-02-10,0.950000,1.060000,0.860000,1.010000,1.010000,107299100
2021-02-11,1.230000,1.230000,1.050000,1.060000,1.060000,77011100
2021-02-12,0.960000,1.070000,0.950000,1.030000,1.030000,37453400
2021-02-16,1.100000,1.110000,1.050000,1.080000,1.080000,34833800
2021-02-17,1.060000,1.080000,0.990000,1.000000,1.000000,26445100
2021-02-18,0.990000,0.990000,0.890000,0.930000,0.930000,27354900
2021-02-19,0.930000,1.000000,0.920000,0.950000,0.950000,21047300
2021-02-22,0.950000,1.020000,0.920000,0.970000,0.970000,21602000
2021-02-23,0.900000,0.930000,0.780000,0.900000,0.900000,25347500
2021-02-24,0.910000,1.030000,0.910000,0.990000,0.990000,30980000
2021-02-25,0.960000,0.980000,0.880000,0.890000,0.890000,21254800
2021-02-26,0.890000,0.890000,0.800000,0.850000,0.850000,13451000
2021-03-01,0.860000,0.890000,0.800000,0.820000,0.820000,18674000
2021-03-02,0.810000,0.820000,0.740000,0.750000,0.750000,17181600
2021-03-03,0.760000,0.830000,0.760000,0.780000,0.780000,18029900
2021-03-04,0.770000,0.810000,0.690000,0.760000,0.760000,17018500
2021-03-05,0.830000,0.830000,0.730000,0.800000,0.800000,19236000
2021-03-08,0.820000,0.850000,0.780000,0.790000,0.790000,11086000
2021-03-09,0.800000,0.810000,0.770000,0.800000,0.800000,8332100
2021-03-10,0.810000,0.840000,0.790000,0.830000,0.830000,10063200
2021-03-11,0.840000,0.860000,0.820000,0.850000,0.850000,10055700
2021-03-12,0.840000,0.850000,0.820000,0.840000,0.840000,6201000
2021-03-15,0.840000,0.850000,0.810000,0.850000,0.850000,10973700
2021-03-16,0.840000,0.850000,0.800000,0.810000,0.810000,7716500
2021-03-17,0.810000,0.820000,0.770000,0.820000,0.820000,6244400
2021-03-18,0.810000,0.810000,0.760000,0.760000,0.760000,8335800
2021-03-19,0.770000,0.810000,0.750000,0.800000,0.800000,5995400
2021-03-22,0.800000,0.810000,0.760000,0.790000,0.790000,4782700
2021-03-23,0.780000,0.780000,0.710000,0.710000,0.710000,8619400
